20-08-2024,HADRIANA PRIVATE LIMITED,10752.00
20-08-2024,SOLLAR BIO LFE,50512.00
20-08-2024,HONEST SURGICAL & MEDICINES AGENCIES(PUR,1467.00
20-08-2024,VASURA MEDICAL AGENCIES,2128.00
20-08-2024,PRANAV SURGICALS,23520.00
20-08-2024,RIBBEL INERNATIONAL LTD.,21970.00
28-08-2024,ALPHA MEDICARE AND DEVICES PVT.LTD.,4879.00
21-08-2024,PRANAV SURGICALS,20780.00
22-08-2024,ALPHA MEDICARE AND DEVICES PVT.LTD.,97641.00
22-08-2024,TOONBRANDS SOLTUIONS PVT LTD,81200.00
22-08-2024,ASTRID HEALTHCARE LLP,12902.00
24-08-2024,TOUCH SAFE SURGICAL,672.00
24-08-2024,MOREPEN LABORATORIES LIMITED,356160.00
24-08-2024,MITANSH SURGICAL (P),2738.00
24-08-2024,KAVYA DISTRIBUTORS,5796.00
24-08-2024,TOONBRANDS SOLTUIONS PVT LTD,48720.00
27-08-2024,SUN SURGICAL(P),3363.00
27-08-2024,REVIVE ENTERPRISE,4247.00
27-08-2024,VASURA MEDICAL AGENCIES,2128.00
27-08-2024,HI-TECH PHARMA,18816.00
28-08-2024,TOONBRANDS SOLTUIONS PVT LTD,31495.00
28-08-2024,TOONBRANDS SOLTUIONS PVT LTD,162400.00
28-08-2024,KESHAV DISTRIBUTOR,4536.00
28-08-2024,MOREPEN LABORATORIES LIMITED,117600.00
28-08-2024,MOREPEN LABORATORIES LIMITED,19600.00
28-08-2024,TOUCH SAFE SURGICAL,1075.00
29-08-2024,TOUCH SAFE SURGICAL,678.00
29-08-2024,MOREPEN LABORATORIES LIMITED,240800.00
30-08-2024,A . R . MEDICO(P),1848.00
02-09-2024,WEST INDIA LIFESCIENCE,1677.00
31-08-2024,ALPHA MEDICARE AND DEVICES PVT.LTD.,77806.00
31-08-2024,YAMUNA MEDITECH PVT.LTD,14224.00
31-08-2024,TOUCH SAFE SURGICAL,1527.00
02-09-2024,TOONBRANDS SOLTUIONS PVT LTD,276080.00
02-09-2024,TOUCH SAFE SURGICAL,717.00
02-09-2024,SHAYONA INC.(INDIA),0.00
03-09-2024,ASTRID HEALTHCARE LLP,40596.00
03-09-2024,HADRIANA PRIVATE LIMITED,108075.00
04-09-2024,P D PHARMA(P),1792.00
05-09-2024,HADRIANA PRIVATE LIMITED,34527.00
05-09-2024,STOE LIFE PRIVATE LIMITED,21414.00
05-09-2024,MAA CHANDRA PHARMA(P),25200.00
05-09-2024,KAVYA DISTRIBUTORS,1652.00
05-09-2024,PRANAV ENTERPRISE,3304.00
07-09-2024,WEST INDIA LIFESCIENCE,12544.00
09-09-2024,ALPHA MEDICARE AND DEVICES PVT.LTD.,55097.00
09-09-2024,KAVYA DISTRIBUTORS,4838.00
09-09-2024,KAVYA DISTRIBUTORS,13216.00
09-09-2024,TOUCH SAFE SURGICAL,717.00
09-09-2024,VASURA MEDICAL AGENCIES,1708.00
10-09-2024,P D PHARMA(P),1176.00
10-09-2024,HADRIANA PRIVATE LIMITED,8197.00
10-09-2024,ASTRID HEALTHCARE LLP,3776.00
11-09-2024,TOONBRANDS SOLTUIONS PVT LTD,16240.00
11-09-2024,PROMEA THERAPEUTICS PRIVATE LIMITED,287381.00
12-09-2024,TOUCH SAFE SURGICAL,18792.00
12-09-2024,TOONBRANDS SOLTUIONS PVT LTD,41350.00
12-09-2024,TOONBRANDS SOLTUIONS PVT LTD,61376.00
12-09-2024,ASTRID HEALTHCARE LLP,32413.00
13-09-2024,ECOgreen ENVIRO SERVICES,3136.00
13-09-2024,ALPHA MEDICARE AND DEVICES PVT.LTD.,44500.00
13-09-2024,SHREE HARI MEDICAL AGENCY(DAVA BAZAR),773.00
14-09-2024,ALPHA MEDICARE AND DEVICES PVT.LTD.,47678.00
14-09-2024,VASURA MEDICAL AGENCIES,482.00
16-09-2024,ASTRID HEALTHCARE LLP,19354.00
16-09-2024,TOONBRANDS SOLTUIONS PVT LTD,112560.00
18-09-2024,PRANAV SURGICALS,10151.00
18-09-2024,PRANAV ENTERPRISE,5796.00
18-09-2024,KAVYA DISTRIBUTORS,1064.00
18-09-2024,PRANAV ENTERPRISE,6608.00
18-09-2024,MITANSH SURGICAL (P),4106.00
18-09-2024,STOE LIFE PRIVATE LIMITED,5527.00
19-09-2024,ZYKEM HEALTHCARE PVT LTD,387072.00
19-09-2024,PROMEA THERAPEUTICS PRIVATE LIMITED,754014.00
20-09-2024,TOONBRANDS SOLTUIONS PVT LTD,59013.00
20-09-2024,CURE LIFESCIENCES,2464.00
20-09-2024,CLADVIQ PHARMACEUTICALS PRIVATE LIMITED,20052.00
21-09-2024,FUSION DISTRIBUTORS(P),9166.00
21-09-2024,HADRIANA PRIVATE LIMITED,29287.00
21-09-2024,STOE LIFE PRIVATE LIMITED,1176000.00
21-09-2024,CURE LIFESCIENCES,42336.00
21-09-2024,SWISS MEDICAL STORES(P),885.00
23-09-2024,ASTRID HEALTHCARE LLP,1.00
23-09-2024,RIBBEL INERNATIONAL LTD.,15876.00
23-09-2024,TOONBRANDS SOLTUIONS PVT LTD,81200.00
23-09-2024,TOUCH SAFE SURGICAL,1434.00
24-09-2024,ALPHA MEDICARE AND DEVICES PVT.LTD.,58234.00
24-09-2024,P D PHARMA(P),588.00
24-09-2024,VISA INDUSTRIES,197120.00
24-09-2024,HADRIANA PRIVATE LIMITED,10752.00
24-09-2024,MAA CHANDRA PHARMA(P),1747.00
24-09-2024,SWAMI ORTHO AIDS,12992.00
25-09-2024,TOUCH SAFE SURGICAL,672.00
25-09-2024,MAA CHANDRA PHARMA(P),8781.00
25-09-2024,HADRIANA PRIVATE LIMITED,16744.00
27-09-2024,MOREPEN LABORATORIES LIMITED,197120.00
27-09-2024,P D PHARMA(P),1176.00
28-09-2024,REVIVE ENTERPRISE,11451.00
30-09-2024,PRANAV SURGICALS,266.00
30-09-2024,SOLLAR BIO LFE,2206.00
30-09-2024,PRANAV ENTERPRISE,2436.00
30-09-2024,MOREPEN LABORATORIES LIMITED,310227.00
01-10-2024,TOUCH SAFE SURGICAL,1071.00
01-10-2024,TOUCH SAFE SURGICAL,316.00
26-09-2024,HADRIANA PRIVATE LIMITED,24449.00
01-10-2024,PRANAV ENTERPRISE,5796.00
01-10-2024,PARSHWA MEDICAL & SURGICAL (P),108.00
01-10-2024,ALPHA MEDICARE AND DEVICES PVT.LTD.,58088.00
02-10-2024,UDAY SURGIPHARMA(P),4435.00
02-10-2024,PRANAV SURGICALS,1960.00
02-10-2024,PRANAV ENTERPRISE,6608.00
03-10-2024,ASTRID HEALTHCARE LLP,16464.00
04-10-2024,TOUCH SAFE SURGICAL,1075.00
04-10-2024,WEST INDIA LIFESCIENCE,14802.00
04-10-2024,STOE LIFE PRIVATE LIMITED,11054.00
05-10-2024,HADRIANA PRIVATE LIMITED,19348.00
05-10-2024,ALPHA MEDICARE AND DEVICES PVT.LTD.,32193.00
07-10-2024,TOONBRANDS SOLTUIONS PVT LTD,34048.00
08-10-2024,ALPHA MEDICARE AND DEVICES PVT.LTD.,20698.00
08-10-2024,TOONBRANDS SOLTUIONS PVT LTD,35550.00
09-10-2024,CURE LIFESCIENCES,39060.00
10-10-2024,MAA CHANDRA PHARMA(P),1165.00
10-10-2024,HADRIANA PRIVATE LIMITED,18152.00
10-10-2024,MITANSH SURGICAL (P),720.00
10-10-2024,PRANAV ENTERPRISE,47981.00
10-10-2024,PRANAV SURGICALS,38831.00
10-10-2024,ALPHA MEDICARE AND DEVICES PVT.LTD.,62300.00
10-10-2024,WEST INDIA LIFESCIENCE,20579.00
11-10-2024,SWAMI ORTHO AIDS,12992.00
12-10-2024,TOUCH SAFE SURGICAL,1847.00
12-10-2024,PRANAV SURGICALS,3804.00
14-10-2024,TOONBRANDS SOLTUIONS PVT LTD,57900.00
14-10-2024,PRANAV SURGICALS,9959.00
14-10-2024,LORD KRISHNA GLOBAL SOURCING PRIVATE LTD,142025.00
15-10-2024,PRANAV SURGICALS,23780.00
16-10-2024,PRANAV SURGICALS,750.00
16-10-2024,ALPHA MEDICARE AND DEVICES PVT.LTD.,62300.00
16-10-2024,STOE LIFE PRIVATE LIMITED,10444.00
16-10-2024,HADRIANA PRIVATE LIMITED,3629.00
16-10-2024,PROMEA THERAPEUTICS PRIVATE LIMITED,652530.00
17-10-2024,ASTRID HEALTHCARE LLP,8400.00
17-10-2024,ALPHA MEDICARE AND DEVICES PVT.LTD.,12544.00
18-10-2024,ALPHA MEDICARE AND DEVICES PVT.LTD.,26770.00
18-10-2024,MITANSH SURGICAL (P),2878.00
19-10-2024,WEST INDIA LIFESCIENCE,7409.00
19-10-2024,MAA CHANDRA PHARMA(P),2352.00
19-10-2024,SWISS MEDICAL STORES(P),1770.00
19-10-2024,HADRIANA PRIVATE LIMITED,8372.00
